amfi_code,daily_var_95_pct,daily_cvar_95_pct,annualized_var_95_pct,scheme_name
100016,1.44,1.81,22.8,Scheme 100016
100025,0.38,0.5,6.02,Scheme 100025
100033,1.9,2.35,30.21,Scheme 100033
101206,1.33,1.74,21.08,Scheme 101206
101207,2.6,3.25,41.31,Scheme 101207
101208,0.03,0.04,0.43,Scheme 101208
102885,1.26,1.55,20.02,Scheme 102885
102886,1.92,2.33,30.51,Scheme 102886
102887,1.52,1.94,24.18,Scheme 102887
118632,1.4,1.76,22.15,Scheme 118632
118633,1.34,1.66,21.34,Scheme 118633
118634,2.54,3.23,40.38,Scheme 118634
118635,1.26,1.62,19.93,Scheme 118635
118636,0.38,0.49,6.04,Scheme 118636
119092,1.37,1.73,21.83,Scheme 119092
119093,1.42,1.75,22.58,Scheme 119093
119094,1.85,2.43,29.34,Scheme 119094
119095,2.62,3.17,41.57,Scheme 119095
119120,0.39,0.5,6.25,Scheme 119120
119551,1.28,1.64,20.39,Scheme 119551
119552,1.35,1.73,21.43,Scheme 119552
119598,2.45,3.06,38.9,Scheme 119598
119599,2.69,3.24,42.64,Scheme 119599
120503,1.36,1.75,21.51,Scheme 120503
120504,1.37,1.75,21.79,Scheme 120504
120505,1.89,2.43,29.99,Scheme 120505
120506,1.44,1.94,22.84,Scheme 120506
120507,0.02,0.04,0.35,Scheme 120507
120841,1.31,1.64,20.86,Scheme 120841
120842,1.82,2.27,28.92,Scheme 120842
120843,1.45,1.84,23.03,Scheme 120843
120844,0.03,0.04,0.45,Scheme 120844
125497,1.46,1.83,23.16,Scheme 125497
125498,1.84,2.31,29.15,Scheme 125498
148567,1.36,1.76,21.53,Scheme 148567
148568,1.47,1.88,23.35,Scheme 148568
148569,1.71,2.13,27.17,Scheme 148569
149322,1.45,1.84,22.98,Scheme 149322
149323,1.79,2.26,28.39,Scheme 149323
149324,2.35,3.1,37.28,Scheme 149324
